hh_ids,trx_yr_mo,inc_hh_byti,inc_hh_byti_AGRI,inc_hh_byti_CITMPC,inc_hh_byti_NEINCG,inc_hh_byti_REI,inc_hh_byti_RIOI,inc_hh_byti_RR,inc_hh_byti_SEI
"KELDK18","2013_06",167.0588,81.17647,0,0,0,0,0,85.88236
"KELDK18","2013_07",134.1177,43.52941,0,0,0,0,0,90.58825
"KELDK18","2013_08",529.1765,452.7059,0,0,0,0,0,76.47059
"KELDK18","2013_09",143.5294,72.94118,0,0,0,0,0,70.58826
"KELDK19","2012_10",462.9412,387.0588,0,0,0,0,0,75.88237
"KELDK19","2012_11",601.7647,-47.05882,0,0,0,0,0,648.8235
"KELDK19","2012_12",295.8824,-41.17647,0,0,0,0,0,337.0588
"KELDK19","2013_01",36.47059,10.58824,0,0,0,8.235294,0,17.64706
"KELDK19","2013_02",691.7648,0,0,0,0,0,0,691.7648
"KELDK19","2013_03",485.8824,-138.8235,0,0,0,0,0,624.7059
"KELDK19","2013_04",288.7647,99.41177,0,0,0,0,0,189.3529
"KELDK19","2013_05",708.6824,130.9412,0,0,0,0,0,577.7412
"KELDK19","2013_06",34.47057,260.2,0,0,0,0,0,-225.7294
"KELDK19","2013_07",199.4,182.3529,0,0,0,0,0,17.04706
"KELDK19","2013_08",-91.9412,100.8235,0,0,0,0,0,-192.7647
"KELDK19","2013_09",127.6353,24.11765,0,0,0,0,0,103.5176
"KELDK20","2012_10",71.17647,11.76471,35.29412,0,0,0,0,24.11765
