hh_ids,m_ids_owner,trx_yr_mo,inc_i_byti,inc_i_byti_AGRI,inc_i_byti_CITMPC,inc_i_byti_NEINCG,inc_i_byti_REI,inc_i_byti_RIOI,inc_i_byti_RR,inc_i_byti_SEI
"KELDK08","56134410699600000","2013_07",2.352941,0,2.352941,0,0,0,0,0
"KELDK08","56134410709700000","2012_10",35.29412,0,0,0,35.29412,0,0,0
"KELDK08","56134410709700000","2012_11",23.52941,0,0,0,23.52941,0,0,0
"KELDK08","56134410709700000","2012_12",36.47059,0,0,0,36.47059,0,0,0
"KELDK08","56134410709700000","2013_01",32.65882,0,4.42353,0,28.23529,0,0,0
"KELDK08","56134410709700000","2013_02",3.764706,0,3.764706,0,0,0,0,0
"KELDK08","56134410709700000","2013_03",4.176471,0,4.176471,0,0,0,0,0
"KELDK08","56134410709700000","2013_04",3.882353,0,0,0,0,0,3.882353,0
"KELDK08","56134410709700000","2013_05",14.23529,0,14.23529,0,0,0,0,0
"KELDK08","56134410709700000","2013_06",5.176471,0,5.176471,0,0,0,0,0
"KELDK08","56134410709700000","2013_07",41.17647,0,0,0,41.17647,0,0,0
"KELDK08","56134410709700000","2013_08",34.70588,0,1.764706,0,32.94118,0,0,0
"KELDK08","56134410709700000","2013_09",35.29412,0,0,0,35.29412,0,0,0
"KELDK08","56134410709700000","2013_10",35.29412,0,0,0,35.29412,0,0,0
"KELDK09","56134329944600000","2012_11",32.94118,0,0,0,0,0,0,32.94118
"KELDK09","56134329944600000","2012_12",241.7647,0,0,0,0,0,0,241.7647
"KELDK09","56134329944600000","2013_01",5.294114,0,0,0,0,0,0,5.294114
"KELDK09","56134329944600000","2013_02",274.8235,0,0,0,0,0,0,274.8235
"KELDK09","56134329944600000","2013_03",166.4706,0,0,0,0,0,67.64706,98.82353
"KELDK09","56134329944600000","2013_04",105.8824,0,0,0,0,0,0,105.8824
"KELDK09","56134329944600000","2013_05",27.05883,0,0,0,0,0,0,27.05883
"KELDK09","56134329944600000","2013_06",445.1765,0,0,0,0,0,11.05882,434.1176
"KELDK09","56134329944600000","2013_07",117.8824,0,0,0,0,0,.2352941,117.6471
"KELDK09","56134329944600000","2013_08",4.235295,0,0,0,0,0,6.588235,-2.352941
"KELDK09","56134329944600000","2013_09",22.82353,0,0,0,0,0,.4705882,22.35294
"KELDK10","56134337157200000","2012_11",199.4118,0,0,0,0,0,0,199.4118
"KELDK10","56134337157200000","2012_12",23.76471,0,0,0,0,0,0,23.76471
"KELDK10","56134337157200000","2013_01",104,0,0,0,0,17.64706,0,86.35294
"KELDK10","56134337157200000","2013_02",215.4118,0,0,0,0,11.76471,13.05882,190.5882
"KELDK10","56134337157200000","2013_03",159.2941,0,0,0,0,11.76471,73.41177,74.11765
"KELDK10","56134337157200000","2013_04",90.11765,0,0,0,0,0,20,70.11765
"KELDK10","56134337157200000","2013_05",21.17647,0,0,0,0,0,16.23529,4.941178
"KELDK10","56134337157200000","2013_06",169.3765,129.4118,0,0,0,0,34.4353,5.529413
"KELDK10","56134337157200000","2013_07",33.76471,0,0,0,0,0,.2352941,33.52941
"KELDK10","56134337157200000","2013_08",73.2353,0,0,0,0,0,47.94118,25.29412
"KELDK10","56134337157200000","2013_09",112.2235,0,0,0,0,0,62.22353,50
